"id","label","obsolete","ordering"
"1","label.mk_category.1","0","10"
"2","label.mk_category.2","0","20"
"3","label.mk_category.3","0","30"
"4","label.mk_category.4","0","40"
"5","label.mk_category.5","0","50"
"6","label.mk_category.6","0","60"
"7","label.mk_category.7","0","70"
